Attendance Record Report,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Att. Time,,2026-07-01 ~ 2026-07-10,,,,,,,Tabulation,,2026-07-10,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,
ID:,,1,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5515:03,09:4615:00,11:0215:01,,,09:41,09:4315:01,09:4914:59,,09:43,,,,,,,,,,,
ID:,,2,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5515:03,09:51,09:5214:57,09:4914:59,,09:46,09:4215:00,09:47,09:4415:03,09:48,,,,,,,,,,,
ID:,,3,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:51,09:51,09:3315:05,09:4115:03,,,09:1815:18,09:1415:04,09:0415:06,09:35,,,,,,,,,,,
ID:,,4,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:52,09:52,09:3315:05,09:2415:04,,09:06,09:3015:1715:17,09:1715:04,09:1615:06,09:35,,,,,,,,,,,
ID:,,5,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5215:05,09:4415:00,09:4915:01,09:4414:58,,09:47,09:4815:02,09:4914:59,09:4615:02,09:46,,,,,,,,,,,
ID:,,6,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5215:04,,,,,,,,,,,,,,,,,,,,
ID:,,7,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:52,09:4809:48,09:3815:06,09:3615:03,,09:34,09:3615:17,,,09:33,,,,,,,,,,,
ID:,,8,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5215:04,09:3815:01,09:3715:01,09:2914:57,,09:33,09:3015:03,09:4014:59,09:4315:03,09:38,,,,,,,,,,,
ID:,,9,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5315:04,09:3715:01,09:3815:02,09:3614:57,,09:40,09:4115:02,09:4214:59,09:4515:03,09:45,,,,,,,,,,,
ID:,,10,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5615:03,09:4214:59,09:3815:01,09:4414:56,,09:43,09:4115:02,09:4114:59,09:4615:02,09:49,,,,,,,,,,,
ID:,,11,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5215:03,09:4415:00,09:4315:00,09:4414:58,,09:42,09:4415:02,09:4615:00,,09:43,,,,,,,,,,,
ID:,,12,,,,,,Name:,,,,,,,,,,Dept.:,,Company
09:5415:03,09:3915:00,09:4015:01,09:3814:57,,09:39,09:3815:03,09:3814:59,09:3915:03,09:39,,,,,,,,,,,
ID:,,13,,,,,,Name:,,,,,,,,,,Dept.:,,Company
